name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sodalis	84565	G	741	66	807	0.04550
Escherichia	561	G	169	1486	1655	0.09331
Salmonella	590	G	57	6141	6198	0.34944
Klebsiella	570	G	49	164	213	0.01201
Enterobacter	547	G	15	32	47	0.00265
Citrobacter	544	G	6	8	14	0.00079
Shigella	620	G	6	66	72	0.00406
Candidatus Ishikawella	409304	G	3	0	3	0.00017
Superficieibacter	2303321	G	2	0	2	0.00011
Candidatus Profftia	1177214	G	1	0	1	0.00006
Candidatus Moranella	1048757	G	1	0	1	0.00006
Kosakonia	1330547	G	1	0	1	0.00006
Plesiomonas	702	G	1	0	1	0.00006
Yersinia	629	G	21	3389	3410	0.19225
Serratia	613	G	9	10	19	0.00107
Arsenophonus	637	G	10	2	12	0.00068
Morganella	581	G	4	0	4	0.00023
Pantoea	53335	G	2	0	2	0.00011
Xanthomonas	338	G	104	5	109	0.00615
Stenotrophomonas	40323	G	54	7	61	0.00344
Tahibacter	1453544	G	2	0	2	0.00011
Candidatus Thiodiazotropha	1913444	G	80	0	80	0.00451
Thiocapsa	1056	G	9	0	9	0.00051
Thioflavicoccus	156885	G	7	0	7	0.00039
Allochromatium	85072	G	1	0	1	0.00006
Pseudomonas	286	G	19	6	25	0.00141
Shewanella	22	G	10	3	13	0.00073
Pseudoalteromonas	53246	G	2	0	2	0.00011
Acinetobacter	469	G	11	1	12	0.00068
Aeromonas	642	G	10	4	14	0.00079
Oceanisphaera	225143	G	1	0	1	0.00006
Vibrio	662	G	6	21	27	0.00152
Thiosulfatimonas	2781121	G	4	0	4	0.00023
Mergibacter	2899790	G	1	0	1	0.00006
Dichelobacter	869	G	1	0	1	0.00006
Salinispirillum	1649491	G	1	0	1	0.00006
Celerinatantimonas	412033	G	1	0	1	0.00006
Ralstonia	48736	G	1347	13	1360	0.07668
Paraburkholderia	1822464	G	46	0	46	0.00259
Burkholderia	32008	G	2	14	16	0.00090
Polynucleobacter	44013	G	2	0	2	0.00011
Pandoraea	93217	G	2	0	2	0.00011
Lautropia	47670	G	1	0	1	0.00006
Caballeronia	1827195	G	1	0	1	0.00006
Mycetohabitans	2571159	G	1	3	4	0.00023
Massilia	149698	G	5	46	51	0.00288
Pseudoduganella	1522432	G	1	7	8	0.00045
Herbaspirillum	963	G	3	2	5	0.00028
Tepidimonas	114248	G	37	21	58	0.00327
Variovorax	34072	G	16	0	16	0.00090
Bordetella	517	G	1	0	1	0.00006
Kingella	32257	G	1	0	1	0.00006
Pseudogulbenkiania	568394	G	1	0	1	0.00006
Chitinivorax	1433992	G	1	0	1	0.00006
Ferrovum	416212	G	1	0	1	0.00006
Acidibrevibacterium	2603324	G	167	19	186	0.01049
Elioraea	457933	G	1	0	1	0.00006
Tardiphaga	1395974	G	36	69	105	0.00592
Methylobacterium	407	G	23	0	23	0.00130
Devosia	46913	G	1	0	1	0.00006
Paradevosia	1573407	G	1	0	1	0.00006
Pseudorhodoplanes	1734920	G	1	0	1	0.00006
Kaistia	166953	G	1	0	1	0.00006
Sphingomonas	13687	G	60	0	60	0.00338
Sphingobium	165695	G	2	0	2	0.00011
Aurantiacibacter	2800681	G	1	0	1	0.00006
Wolbachia	953	G	11	1	12	0.00068
Caulobacter	75	G	1	0	1	0.00006
Desulfuromonas	890	G	1162	0	1162	0.06551
Geobacter	28231	G	2	0	2	0.00011
Thalassoglobus	2795865	G	1	0	1	0.00006
Aeoliella	2795781	G	1	0	1	0.00006
Sediminibacterium	504481	G	119	0	119	0.00671
Paraflavitalea	2698688	G	5	0	5	0.00028
Gemmatimonas	173479	G	1	0	1	0.00006
Luteitalea	2004797	G	73	0	73	0.00412
Borrelia	138	G	3	0	3	0.00017
Hydrogenimonas	223785	G	1	0	1	0.00006
Bdellovibrio	958	G	1	0	1	0.00006
Enterococcus	1350	G	454	113	567	0.03197
Dellaglioa	2767880	G	7	1	8	0.00045
Fructilactobacillus	2767881	G	4	0	4	0.00023
Loigolactobacillus	2767889	G	1	0	1	0.00006
Latilactobacillus	2767885	G	1	0	1	0.00006
Apilactobacillus	2767877	G	1	0	1	0.00006
Streptococcus	1301	G	14	0	14	0.00079
Bacillus	1386	G	57	380	437	0.02464
Priestia	2800373	G	6	0	6	0.00034
Alkalicoccus	2005375	G	4	0	4	0.00023
Fervidibacillus	3033930	G	3	0	3	0.00017
Salicibibacter	2685905	G	3	0	3	0.00017
Anoxybacillus	150247	G	4	0	4	0.00023
Geobacillus	129337	G	1	1	2	0.00011
Kyrpidia	1129704	G	3	0	3	0.00017
Staphylococcus	1279	G	1	0	1	0.00006
Paenibacillus	44249	G	1	0	1	0.00006
Clostridium	1485	G	6	21	27	0.00152
Acetobacterium	33951	G	6	0	6	0.00034
Aristaeella	3046369	G	2	0	2	0.00011
Intestinibacter	1505657	G	2	0	2	0.00011
Anaerococcus	165779	G	9	0	9	0.00051
Peptoniphilus	162289	G	1	0	1	0.00006
Aedoeadaptatus	2981628	G	1	0	1	0.00006
Allobaculum	174708	G	3	0	3	0.00017
Arthrobacter	1663	G	1	83	84	0.00474
Glutamicibacter	1742989	G	1	91	92	0.00519
Nostocoides	99479	G	35	4	39	0.00220
Mycobacterium	1763	G	1	0	1	0.00006
Streptantibioticus	2995706	G	1	0	1	0.00006
Thermomonospora	2019	G	1	0	1	0.00006
Actinomarinicola	2789775	G	76	3	79	0.00445
Limnospira	2596745	G	3	0	3	0.00017
Thermobaculum	262406	G	1	0	1	0.00006
Minisyncoccus	3238478	G	125	0	125	0.00705
Aminomonas	81411	G	2	0	2	0.00011
Homo	9605	G	1	0	1	0.00006
