name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	101	4	105	0.00082
Rhodopseudomonas	1073	G	52	935	987	0.00775
Afipia	1033	G	15	0	15	0.00012
Tardiphaga	1395974	G	3	61	64	0.00050
Microvirga	186650	G	676	34	710	0.00557
Methylobacterium	407	G	96	70	166	0.00130
Hyphomicrobium	81	G	657	0	657	0.00516
Rhodomicrobium	1068	G	151	38	189	0.00148
Devosia	46913	G	460	339	799	0.00627
Pelagibacterium	1082930	G	7	0	7	0.00005
Mesorhizobium	68287	G	573	2	575	0.00451
Aminobacter	31988	G	19	11	30	0.00024
Aquibium	2911176	G	6	3	9	0.00007
Nitratireductor	245876	G	2	1	3	0.00002
Enhydrobacter	212791	G	370	115	485	0.00381
Pseudorhodoplanes	1734920	G	190	56	246	0.00193
Terrihabitans	2874214	G	9	3	12	0.00009
Nordella	169055	G	5	1	6	0.00005
Candidatus Hodgkinia	573657	G	5	0	5	0.00004
Rhizobium	379	G	48	70	118	0.00093
Pararhizobium	1612611	G	2	0	2	0.00002
Shinella	323620	G	20	0	20	0.00016
Sinorhizobium	28105	G	19	105	124	0.00097
Liberibacter	34019	G	12	0	12	0.00009
Hoeflea	274591	G	1	0	1	0.00001
Phreatobacter	1632780	G	215	118	333	0.00261
Xanthobacter	279	G	90	1	91	0.00071
Labrys	204476	G	31	0	31	0.00024
Azorhizobium	6	G	22	10	32	0.00025
Pseudolabrys	556257	G	22	10	32	0.00025
Ancylobacter	99	G	4	2	6	0.00005
Chenggangzhangella	2041902	G	120	50	170	0.00133
Bosea	85413	G	91	0	91	0.00071
Beijerinckia	532	G	60	16	76	0.00060
Methylocapsa	184923	G	16	3	19	0.00015
Methylovirgula	1156568	G	5	0	5	0.00004
Methylocella	120652	G	1	0	1	0.00001
Kaistia	166953	G	60	32	92	0.00072
Martelella	293088	G	27	20	47	0.00037
Aureimonas	414371	G	15	0	15	0.00012
Aurantimonas	182269	G	2	1	3	0.00002
Salinarimonas	690086	G	44	25	69	0.00054
Anderseniella	444432	G	19	5	24	0.00019
Parvibaculum	256616	G	1	9	10	0.00008
Cohaesibacter	655352	G	31	0	31	0.00024
Terrirubrum	3142786	G	19	5	24	0.00019
Brucella	234	G	12	4233	4245	0.03332
Methylocystis	133	G	11	1	12	0.00009
Oceaniradius	2679892	G	10	5	15	0.00012
Blastochloris	59282	G	7	0	7	0.00005
Chelatococcus	28209	G	7	0	7	0.00005
Pleomorphomonas	261933	G	6	2	8	0.00006
Afifella	643217	G	4	1	5	0.00004
Methyloraptor	3382645	G	3	1	4	0.00003
Breoghania	1406135	G	2	0	2	0.00002
Pseudovibrio	258255	G	1	0	1	0.00001
Acuticoccus	1904377	G	2	0	2	0.00002
Sphingomonas	13687	G	1874	680	2554	0.02005
Sphingobium	165695	G	244	12	256	0.00201
Novosphingobium	165696	G	70	5	75	0.00059
Sphingopyxis	165697	G	43	1	44	0.00035
Parasphingopyxis	1234545	G	19	13	32	0.00025
Sphingorhabdus	1434046	G	14	3	17	0.00013
Erythrobacter	1041	G	209	1298	1507	0.01183
Aurantiacibacter	2800681	G	65	0	65	0.00051
Tsuneonella	2800686	G	31	52	83	0.00065
Qipengyuania	1855416	G	13	29	42	0.00033
Croceibacterium	2676755	G	1	1	2	0.00002
Sphingosinicella	335405	G	105	63	168	0.00132
Sandaracinobacteroides	2883109	G	2	0	2	0.00002
Polymorphobacter	1508451	G	1	0	1	0.00001
Zymomonas	541	G	41	3	44	0.00035
Skermanella	204447	G	1015	0	1015	0.00797
Niveispirillum	1543704	G	81	86	167	0.00131
Azospirillum	191	G	11	13	24	0.00019
Ferrovibrio	1231242	G	310	253	563	0.00442
Pararhodospirillum	1612157	G	29	19	48	0.00038
Algihabitans	2821512	G	23	17	40	0.00031
Defluviicoccus	111830	G	2	1	3	0.00002
Magnetospirillum	13134	G	1	2	3	0.00002
Candidatus Endolissoclinum	1263978	G	1	0	1	0.00001
Hypericibacter	2705399	G	290	14	304	0.00239
Caenispirillum	414051	G	71	115	186	0.00146
Stella	93	G	6	8	14	0.00011
Nisaea	390876	G	6	0	6	0.00005
Varunaivibrio	1866954	G	6	3	9	0.00007
Aestuariispira	1647175	G	1	0	1	0.00001
Thalassospira	168934	G	1	0	1	0.00001
Caulobacter	75	G	510	168	678	0.00532
Brevundimonas	41275	G	179	13	192	0.00151
Terricaulis	2768684	G	137	24	161	0.00126
Phenylobacterium	20	G	64	20	84	0.00066
Asticcacaulis	76890	G	12	0	12	0.00009
Paracoccus	265	G	41	11	52	0.00041
Rhodovulum	34008	G	33	216	249	0.00195
