name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhodopseudomonas	1073	G	24	16275	16299	0.47683
Bradyrhizobium	374	G	21	1552	1573	0.04602
Nitrobacter	911	G	13	6180	6193	0.18118
Afipia	1033	G	2	0	2	0.00006
Methylobacterium	407	G	630	2	632	0.01849
Bartonella	773	G	74	0	74	0.00216
Pseudorhodoplanes	1734920	G	27	1	28	0.00082
Enhydrobacter	212791	G	19	1	20	0.00059
Anderseniella	444432	G	35	0	35	0.00102
Devosia	46913	G	23	1	24	0.00070
Hyphomicrobium	81	G	5	0	5	0.00015
Xanthobacter	279	G	1	0	1	0.00003
Labrys	204476	G	1	0	1	0.00003
Brucella	234	G	1	170	171	0.00500
Phreatobacter	1632780	G	1	0	1	0.00003
Sphingomonas	13687	G	174	160	334	0.00977
Sphingobium	165695	G	6	0	6	0.00018
Sphingomicrobium	1227948	G	1	0	1	0.00003
Parasphingopyxis	1234545	G	1	1	2	0.00006
Qipengyuania	1855416	G	1	3	4	0.00012
Ferrovibrio	1231242	G	17	1	18	0.00053
Azospirillum	191	G	8	0	8	0.00023
Hypericibacter	2705399	G	8	0	8	0.00023
Caenispirillum	414051	G	1	0	1	0.00003
Caulobacter	75	G	14	0	14	0.00041
Terricaulis	2768684	G	3	0	3	0.00009
Brevundimonas	41275	G	1	0	1	0.00003
Hyphobacterium	2004661	G	5	0	5	0.00015
Wolbachia	953	G	2	0	2	0.00006
Ruegeria	97050	G	2	0	2	0.00006
Lichenicola	2804525	G	1	0	1	0.00003
Ralstonia	48736	G	347	38	385	0.01126
Cupriavidus	106589	G	228	333	561	0.01641
Burkholderia	32008	G	28	1647	1675	0.04900
Paraburkholderia	1822464	G	21	0	21	0.00061
Candidatus Vallotia	2018044	G	2	0	2	0.00006
Robbsia	2038280	G	1	0	1	0.00003
Massilia	149698	G	140	54	194	0.00568
Pseudoduganella	1522432	G	33	8	41	0.00120
Herbaspirillum	963	G	1	0	1	0.00003
Variovorax	34072	G	106	0	106	0.00310
Diaphorobacter	238749	G	7	0	7	0.00020
Limnohabitans	665874	G	4	0	4	0.00012
Comamonas	283	G	1	0	1	0.00003
Roseateles	93681	G	19	0	19	0.00056
Taylorella	29574	G	1	0	1	0.00003
Sulfuritortus	1938335	G	14	15	29	0.00085
Thiobacillus	919	G	3	1	4	0.00012
Nitrosomonas	914	G	4	0	4	0.00012
Escherichia	561	G	51	51	102	0.00298
Salmonella	590	G	37	1815	1852	0.05418
Enterobacter	547	G	24	14	38	0.00111
Klebsiella	570	G	14	26	40	0.00117
Candidatus Moranella	1048757	G	3	0	3	0.00009
