name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	154	280	434	0.00447
Afipia	1033	G	133	0	133	0.00137
Rhodopseudomonas	1073	G	67	1582	1649	0.01700
Tardiphaga	1395974	G	9	238	247	0.00255
Nitrobacter	911	G	3	57	60	0.00062
Methylobacterium	407	G	299	182	481	0.00496
Microvirga	186650	G	96	6	102	0.00105
Enhydrobacter	212791	G	319	100	419	0.00432
Pseudorhodoplanes	1734920	G	120	42	162	0.00167
Terrihabitans	2874214	G	3	1	4	0.00004
Candidatus Hodgkinia	573657	G	1	0	1	0.00001
Mesorhizobium	68287	G	371	0	371	0.00383
Devosia	46913	G	305	104	409	0.00422
Labrys	204476	G	151	0	151	0.00156
Xanthobacter	279	G	59	2	61	0.00063
Pseudolabrys	556257	G	13	6	19	0.00020
Azorhizobium	6	G	6	3	9	0.00009
Ancylobacter	99	G	1	0	1	0.00001
Hyphomicrobium	81	G	169	0	169	0.00174
Rhodomicrobium	1068	G	14	3	17	0.00018
Beijerinckia	532	G	79	62	141	0.00145
Methylocapsa	184923	G	17	10	27	0.00028
Methylovirgula	1156568	G	9	3	12	0.00012
Methylocella	120652	G	1	0	1	0.00001
Rhizobium	379	G	38	97	135	0.00139
Pararhizobium	1612611	G	1	0	1	0.00001
Liberibacter	34019	G	15	0	15	0.00015
Shinella	323620	G	2	0	2	0.00002
Salinarimonas	690086	G	132	84	216	0.00223
Phreatobacter	1632780	G	72	45	117	0.00121
Chenggangzhangella	2041902	G	57	26	83	0.00086
Methylocystis	133	G	37	5	42	0.00043
Blastochloris	59282	G	28	0	28	0.00029
Kaistia	166953	G	21	13	34	0.00035
Afifella	643217	G	20	8	28	0.00029
Bartonella	773	G	19	0	19	0.00020
Lichenihabitans	2723776	G	15	0	15	0.00015
Pleomorphomonas	261933	G	9	5	14	0.00014
Terrirubrum	3142786	G	9	3	12	0.00012
Anderseniella	444432	G	5	2	7	0.00007
Brucella	234	G	7	3063	3070	0.03165
Bosea	85413	G	6	0	6	0.00006
Cohaesibacter	655352	G	6	0	6	0.00006
Aureimonas	414371	G	4	0	4	0.00004
Aurantimonas	182269	G	1	0	1	0.00001
Methyloraptor	3382645	G	2	1	3	0.00003
Chelatococcus	28209	G	2	0	2	0.00002
Acuticoccus	1904377	G	1	0	1	0.00001
Sphingomonas	13687	G	4909	701	5610	0.05784
Sphingobium	165695	G	91	7	98	0.00101
Novosphingobium	165696	G	14	0	14	0.00014
Sphingopyxis	165697	G	8	0	8	0.00008
Parasphingopyxis	1234545	G	1	0	1	0.00001
Tsuneonella	2800686	G	106	387	493	0.00508
Qipengyuania	1855416	G	33	282	315	0.00325
Erythrobacter	1041	G	18	83	101	0.00104
Zymomonas	541	G	119	7	126	0.00130
Sphingosinicella	335405	G	56	20	76	0.00078
Sandaracinobacteroides	2883109	G	11	2	13	0.00013
Roseomonas	125216	G	232	93	325	0.00335
Roseococcus	35812	G	1	0	1	0.00001
Acidibrevibacterium	2603324	G	65	57	122	0.00126
Commensalibacter	1079922	G	25	7	32	0.00033
Lichenicola	2804525	G	11	13	24	0.00025
