name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sodalis	84565	G	3229	184	3413	0.04930
Escherichia	561	G	295	1858	2153	0.03110
Salmonella	590	G	275	22785	23060	0.33306
Klebsiella	570	G	238	828	1066	0.01540
Enterobacter	547	G	119	81	200	0.00289
Candidatus Regiella	568988	G	1	0	1	0.00001
Candidatus Blochmanniella	203804	G	10	0	10	0.00014
Candidatus Hoaglandella	1906659	G	2	0	2	0.00003
Candidatus Mikella	1906660	G	1	0	1	0.00001
Citrobacter	544	G	27	46	73	0.00105
Plesiomonas	702	G	18	0	18	0.00026
Candidatus Moranella	1048757	G	15	0	15	0.00022
Superficieibacter	2303321	G	14	0	14	0.00020
Shigella	620	G	9	44	53	0.00077
Candidatus Ishikawella	409304	G	8	0	8	0.00012
Yersinia	629	G	130	15833	15963	0.23056
Serratia	613	G	22	35	57	0.00082
Arsenophonus	637	G	70	11	81	0.00117
Morganella	581	G	13	0	13	0.00019
Providencia	586	G	11	0	11	0.00016
Proteus	583	G	7	0	7	0.00010
Pectobacterium	122277	G	48	24	72	0.00104
Dickeya	204037	G	10	0	10	0.00014
Pantoea	53335	G	19	1	20	0.00029
Erwinia	551	G	1	0	1	0.00001
Pragia	82984	G	1	0	1	0.00001
Gallaecimonas	745410	G	1	0	1	0.00001
Stenotrophomonas	40323	G	101	12	113	0.00163
Pseudoxanthomonas	83618	G	43	0	43	0.00062
Lysobacter	68	G	9	3	12	0.00017
Luteimonas	83614	G	6	0	6	0.00009
Xanthomonas	338	G	2	47	49	0.00071
Rhodanobacter	75309	G	111	0	111	0.00160
Luteibacter	242605	G	49	27	76	0.00110
Dyella	231454	G	4	18	22	0.00032
Tahibacter	1453544	G	2	2	4	0.00006
Shewanella	22	G	26	13	39	0.00056
Pseudoalteromonas	53246	G	19	2	21	0.00030
Psychromonas	67572	G	4	0	4	0.00006
Catenovulum	1172191	G	1	0	1	0.00001
Pseudidiomarina	2800384	G	1	0	1	0.00001
Thiocapsa	1056	G	40	0	40	0.00058
Allochromatium	85072	G	15	0	15	0.00022
Thiorhodovibrio	61593	G	1	0	1	0.00001
Thioflavicoccus	156885	G	1	0	1	0.00001
Ectothiorhodosinus	233099	G	1	0	1	0.00001
Aeromonas	642	G	54	9	63	0.00091
Zobellella	347533	G	2	0	2	0.00003
Pseudomonas	286	G	50	4	54	0.00078
