Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample5278_S71_L001_R1_001	sample5278_S71_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92121.0	22.1 Mbp	0.0	50-251	56.0	8.585447400701252	240.5259821321957	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5278_S71_L001_R2_001	sample5278_S71_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92121.0	20.2 Mbp	0.0	50-251	55.0	14.572138817424909	220.2101692339423	242	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
sample5279_S72_L001_R1_001	sample5279_S72_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109846.0	26.4 Mbp	0.0	50-251	56.0	8.193288786118748	240.9487282195073	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5279_S72_L001_R2_001	sample5279_S72_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109846.0	23.9 Mbp	0.0	50-251	54.0	12.56395317080276	217.77495766800794	237	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
sample5280_S73_L001_R1_001	sample5280_S73_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140916.0	34 Mbp	0.0	50-251	56.0	7.420732918902042	241.4285673734707	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5280_S73_L001_R2_001	sample5280_S73_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140916.0	32 Mbp	0.0	50-251	54.0	11.631752249567118	227.84833517840414	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5281_S74_L001_R1_001	sample5281_S74_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129744.0	31.3 Mbp	0.0	50-251	56.0	7.771457639659637	241.8694274879763	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5281_S74_L001_R2_001	sample5281_S74_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129744.0	29.6 Mbp	0.0	50-251	54.0	12.974781107411518	228.4097761746208	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
sample5282_S75_L001_R1_001	sample5282_S75_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117640.0	28.4 Mbp	0.0	50-251	56.0	7.775416524991499	241.54976198571913	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample5282_S75_L001_R2_001	sample5282_S75_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117640.0	26.7 Mbp	0.0	50-251	54.0	12.882522951377082	227.6631927915675	251	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
sample5428_S71_L001_R1_001	sample5428_S71_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110113.0	26.1 Mbp	0.0	50-251	52.0	3.4419187561868263	237.78383115526776	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
