name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhodopseudomonas boonkerdii	475937	S	11	3771	3782	0.14947
Rhodopseudomonas palustris	1076	S	5	1233	1238	0.04893
Nitrobacter hamburgensis	912	S	11	2184	2195	0.08675
Bradyrhizobium prioriisuperbiae	2854389	S	3	181	184	0.00727
Methylobacterium radiotolerans	31998	S	12	166	178	0.00704
Rhizobium ruizarguesonis	2081791	S	2	72	74	0.00292
Enhydrobacter sp.	1894999	S	7	1	8	0.00032
Pseudorhodoplanes sinuspersici	1235591	S	2	0	2	0.00008
Rhodomicrobium lacus	2498452	S	5	1	6	0.00024
Anderseniella sp. Alg231-50	1922226	S	3	0	3	0.00012
Pseudolabrys taiwanensis	331696	S	1	0	1	0.00004
Phreatobacter stygius	1940610	S	2	1	3	0.00012
Brucella intermedia	94625	S	1	0	1	0.00004
Methyloraptor flagellatus	3162530	S	1	0	1	0.00004
Sphingomonas morindae	1541170	S	214	148	362	0.01431
Sphingomonas piscis	2714943	S	7	2	9	0.00036
Sphingomonas sediminicola	386874	S	7	2	9	0.00036
Sphingomonas sp. M1-B02	3114300	S	2	1	3	0.00012
Sphingomonas sp. SUN019	2937788	S	1	0	1	0.00004
Sphingomonas rhizophila	2071607	S	1	0	1	0.00004
Sphingomonas profundi	2681549	S	1	0	1	0.00004
Sphingosinicella microcystinivorans	335406	S	7	1	8	0.00032
Stella humosa	94	S	1	0	1	0.00004
Caenispirillum salinarum	859058	S	1	0	1	0.00004
Wolbachia endosymbiont (group A) of Agelastica alni	3066130	S	2	0	2	0.00008
Wolbachia endosymbiont of Rhagoletis cingulata	1220542	S	1	0	1	0.00004
Burkholderia pseudomallei	28450	S	23	1005	1028	0.04063
Burkholderia thailandensis	57975	S	6	4928	4934	0.19500
Burkholderia mallei	13373	S	1	55	56	0.00221
Burkholderia oklahomensis	342113	S	1	1	2	0.00008
Burkholderia ubonensis	101571	S	7	32	39	0.00154
Burkholderia ambifaria	152480	S	2	4	6	0.00024
Burkholderia multivorans	87883	S	1	1	2	0.00008
Burkholderia anthina	179879	S	1	2	3	0.00012
Burkholderia contaminans	488447	S	1	2	3	0.00012
Burkholderia gladioli	28095	S	5	3	8	0.00032
Burkholderia sp. 2002721687	1468409	S	1	1410	1411	0.05577
Ralstonia pseudosolanacearum	1310165	S	1	53	54	0.00213
Cupriavidus sp. EM10	2839983	S	47	21	68	0.00269
Paraburkholderia tropica	92647	S	1	24	25	0.00099
Robbsia andropogonis	28092	S	2	0	2	0.00008
Massilia sp. METH4	3123041	S	22	151	173	0.00684
Massilia sp. Se16.2.3	2709303	S	1	76	77	0.00304
Massilia varians	457921	S	21	65	86	0.00340
Herbaspirillum hiltneri	341045	S	1	3	4	0.00016
Glaciimonas sp. PAMC28666	2807626	S	1	0	1	0.00004
Vandammella animalimorsus	2029117	S	1	11	12	0.00047
Ideonella dechloratans	36863	S	8	3	11	0.00043
Taylorella equigenitalis	29575	S	3	1	4	0.00016
Oligella ureolytica	90244	S	1	1	2	0.00008
Turicimonas muris	1796652	S	6	0	6	0.00024
Tepidimonas taiwanensis	307486	S	4	1	5	0.00020
Thiobacillus sedimenti	3110231	S	2	3	5	0.00020
Sideroxyarcus emersonii	2764705	S	1	0	1	0.00004
Methyloversatilis sp. RAC08	1842540	S	1	0	1	0.00004
Kingella kingae	504	S	1	0	1	0.00004
Laribacter hongkongensis	168471	S	1	1	2	0.00008
Pseudothauera hydrothermalis	2184083	S	2	1	3	0.00012
Ferribacterium limneticum	76259	S	1	0	1	0.00004
Candidatus Kinetoplastibacterium desouzaii	994692	S	1	0	1	0.00004
Salmonella enterica	28901	S	78	5213	5291	0.20911
Escherichia coli	562	S	62	64	126	0.00498
Klebsiella pneumoniae	573	S	48	137	185	0.00731
Klebsiella quasipneumoniae	1463165	S	3	1	4	0.00016
Klebsiella variicola	244366	S	1	3	4	0.00016
Klebsiella aerogenes	548	S	4	0	4	0.00016
Klebsiella michiganensis	1134687	S	1	0	1	0.00004
Klebsiella sp. PL-2018	2851540	S	1	0	1	0.00004
Enterobacter ludwigii	299767	S	8	6	14	0.00055
Enterobacter cloacae	550	S	2	0	2	0.00008
Enterobacter kobei	208224	S	1	0	1	0.00004
Enterobacter bugandensis	881260	S	6	3	9	0.00036
Enterobacter sp. C2	2870346	S	1	0	1	0.00004
