name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium prioriisuperbiae	2854389	S	4	58	62	0.00075
Bradyrhizobium canariense	255045	S	2	60	62	0.00075
Rhodopseudomonas palustris	1076	S	59	1017	1076	0.01301
Rhodopseudomonas boonkerdii	475937	S	1	23	24	0.00029
Tardiphaga alba	340268	S	4	76	80	0.00097
Nitrobacter hamburgensis	912	S	1	13	14	0.00017
Devosia sp. A16	1736675	S	272	306	578	0.00699
Devosia sp. MC521	2759954	S	2	3	5	0.00006
Devosia beringensis	2657486	S	2	6	8	0.00010
Microvirga thermotolerans	2651334	S	4	90	94	0.00114
Microvirga sp. RSM25	3273802	S	3	122	125	0.00151
Methylobacterium radiodurans	2202828	S	8	53	61	0.00074
Methylobacterium radiotolerans	31998	S	4	178	182	0.00220
Methylobacterium sp. 17Sr1-1	2202826	S	1	6	7	0.00008
Enhydrobacter sp.	1894999	S	232	62	294	0.00355
Pseudorhodoplanes sinuspersici	1235591	S	122	33	155	0.00187
Terrihabitans soli	708113	S	6	2	8	0.00010
Candidatus Hodgkinia cicadicola	573658	S	1	0	1	0.00001
Mesorhizobium sp. DCY119	2108445	S	1	305	306	0.00370
Rhizobium ruizarguesonis	2081791	S	4	62	66	0.00080
Rhizobium gallicum	56730	S	3	34	37	0.00045
Liberibacter crescens	1273132	S	1	16	17	0.00021
Sinorhizobium meliloti	382	S	1	24	25	0.00030
Xanthobacter dioxanivorans	2528964	S	1	28	29	0.00035
Pseudolabrys taiwanensis	331696	S	16	6	22	0.00027
Pseudolabrys sp. FHR47	2562284	S	2	0	2	0.00002
Azorhizobium caulinodans	7	S	3	1	4	0.00005
Ancylobacter polymorphus	223390	S	1	0	1	0.00001
Phreatobacter cathodiphilus	1868589	S	81	44	125	0.00151
Phreatobacter stygius	1940610	S	47	18	65	0.00079
Hyphomicrobium denitrificans	53399	S	4	103	107	0.00129
Rhodomicrobium lacus	2498452	S	7	1	8	0.00010
Methyloligella sp. GL2	2742204	S	2	0	2	0.00002
Beijerinckia indica	533	S	76	28	104	0.00126
Methylocapsa sp. D3K7	3041435	S	6	1	7	0.00008
Salinarimonas sp.	2766526	S	70	36	106	0.00128
Chenggangzhangella methanolivorans	1437009	S	49	18	67	0.00081
Kaistia sp. 32K	2795690	S	24	11	35	0.00042
Brucella intermedia	94625	S	9	4	13	0.00016
Brucella melitensis	29459	S	4	3158	3162	0.03822
Methylocystis heyeri	391905	S	9	4	13	0.00016
Terrirubrum flagellatum	2895980	S	8	2	10	0.00012
uncultured Pleomorphomonas sp.	442121	S	8	4	12	0.00015
Aurantimonas sp. HBX-1	2906072	S	1	0	1	0.00001
Methyloraptor flagellatus	3162530	S	6	3	9	0.00011
