name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sphingomonas sediminicola	386874	S	1605	1608	3213	0.03014
Sphingomonas sabuli	2764186	S	757	836	1593	0.01494
Sphingomonas rhizophila	2071607	S	720	1110	1830	0.01717
Sphingomonas kaistensis	298708	S	266	561	827	0.00776
Sphingomonas sp. M1-B02	3114300	S	114	195	309	0.00290
Sphingomonas sp. MMS24-J13	3238686	S	56	35	91	0.00085
Sphingomonas sp. SUN019	2937788	S	4	5	9	0.00008
Sphingomonas sp. AP4-R1	2735134	S	2	1	3	0.00003
Sphingomonas sp. DBB INV C78	3349434	S	1	0	1	0.00001
Sphingomonas flavalba	2559804	S	90	116	206	0.00193
Sphingomonas profundi	2681549	S	68	94	162	0.00152
Sphingomonas xanthus	2594473	S	58	77	135	0.00127
Sphingomonas abietis	3012344	S	41	50	91	0.00085
Sphingomonas nostoxanthinifaciens	2872652	S	34	47	81	0.00076
Sphingomonas endolithica	2972485	S	30	57	87	0.00082
Sphingomonas piscis	2714943	S	22	17	39	0.00037
Sphingomonas daechungensis	1176646	S	22	21	43	0.00040
Sphingomonas changnyeongensis	2698679	S	10	13	23	0.00022
Sphingomonas morindae	1541170	S	5	7	12	0.00011
Sphingomonas lacunae	2698828	S	4	1	5	0.00005
Sphingomonas sanxanigenens	397260	S	3	5	8	0.00008
Sphingomonas panacisoli	1813879	S	2	3	5	0.00005
Sphingomonas paeninsulae	2319844	S	1	0	1	0.00001
Sphingobium sp. SYK-6	627192	S	22	280	302	0.00283
Novosphingobium sp. Gsoil 351	2675225	S	25	23	48	0.00045
Novosphingobium sp. ZN18A2	3079861	S	1	1	2	0.00002
Parasphingopyxis algicola	2026624	S	3	0	3	0.00003
Tsuneonella sp. CC-YZS046	3042152	S	106	245	351	0.00329
Qipengyuania soli	2782568	S	67	352	419	0.00393
Erythrobacter sp. 3-20A1M	2653850	S	27	307	334	0.00313
Erythrobacter sp. Alg231-14	1922225	S	9	7	16	0.00015
Croceibacterium sp. TMG7-5b_MA50	3121290	S	1	1	2	0.00002
Sandaracinobacteroides saxicola	2759707	S	50	10	60	0.00056
Sphingosinicella microcystinivorans	335406	S	49	15	64	0.00060
Zymomonas mobilis	542	S	8	0	8	0.00008
Rhodopseudomonas palustris	1076	S	71	1299	1370	0.01285
Rhodopseudomonas sp. P2A-2r	2991972	S	31	727	758	0.00711
Rhodopseudomonas boonkerdii	475937	S	2	50	52	0.00049
Bradyrhizobium prioriisuperbiae	2854389	S	10	47	57	0.00053
Bradyrhizobium diazoefficiens	1355477	S	1	161	162	0.00152
Bradyrhizobium canariense	255045	S	1	7	8	0.00008
Tardiphaga alba	340268	S	33	668	701	0.00658
Microvirga thermotolerans	2651334	S	52	372	424	0.00398
Microvirga sp. RSM25	3273802	S	30	365	395	0.00371
Methylobacterium radiotolerans	31998	S	20	590	610	0.00572
Methylobacterium durans	2202825	S	7	17	24	0.00023
Methylobacterium radiodurans	2202828	S	4	15	19	0.00018
Methylobacterium sp. 17Sr1-1	2202826	S	1	4	5	0.00005
Devosia sp. A16	1736675	S	350	337	687	0.00644
Devosia sp. MC521	2759954	S	5	5	10	0.00009
Devosia beringensis	2657486	S	38	120	158	0.00148
Phreatobacter stygius	1940610	S	323	90	413	0.00387
Phreatobacter cathodiphilus	1868589	S	88	34	122	0.00114
Rhizobium gallicum	56730	S	1	54	55	0.00052
Rhizobium grahamii	1120045	S	1	9	10	0.00009
Rhizobium ruizarguesonis	2081791	S	1	95	96	0.00090
Agrobacterium tumefaciens	358	S	1	155	156	0.00146
Neorhizobium sp. SOG26	2060726	S	1	14	15	0.00014
Candidatus Liberibacter asiaticus	34021	S	1	25	26	0.00024
Enhydrobacter sp.	1894999	S	167	33	200	0.00188
Pseudorhodoplanes sinuspersici	1235591	S	106	20	126	0.00118
Terrihabitans soli	708113	S	6	1	7	0.00007
Pseudolabrys sp. FHR47	2562284	S	94	29	123	0.00115
Pseudolabrys taiwanensis	331696	S	8	2	10	0.00009
Xanthobacter dioxanivorans	2528964	S	9	10	19	0.00018
Ancylobacter polymorphus	223390	S	7	2	9	0.00008
Azorhizobium caulinodans	7	S	5	1	6	0.00006
Hyphomicrobium denitrificans	53399	S	3	116	119	0.00112
Rhodomicrobium lacus	2498452	S	36	6	42	0.00039
Methyloligella sp. GL2	2742204	S	1	0	1	0.00001
Beijerinckia indica	533	S	103	35	138	0.00129
Methylocapsa sp. D3K7	3041435	S	10	2	12	0.00011
Martelella endophytica	1486262	S	14	8	22	0.00021
Martelella sp. AD-3	686597	S	1	4	5	0.00005
Aurantimonas sp. HBX-1	2906072	S	2	0	2	0.00002
Salinarimonas sp.	2766526	S	108	40	148	0.00139
Chenggangzhangella methanolivorans	1437009	S	81	22	103	0.00097
Kaistia sp. 32K	2795690	S	48	16	64	0.00060
Methylocystis heyeri	391905	S	2	1	3	0.00003
Methylocystis sp. SC2	187303	S	1	14	15	0.00014
Terrirubrum flagellatum	2895980	S	17	3	20	0.00019
Methyloraptor flagellatus	3162530	S	16	5	21	0.00020
Brucella intermedia	94625	S	6	2	8	0.00008
Brucella melitensis	29459	S	5	2697	2702	0.02535
Afifella sp. YEN Y35	3388337	S	7	1	8	0.00008
Anderseniella sp. Alg231-50	1922226	S	1	0	1	0.00001
Roseibium sp.	1936156	S	1	0	1	0.00001
uncultured Pleomorphomonas sp.	442121	S	1	0	1	0.00001
Asticcacaulis sp. MM231	3157666	S	159	172	331	0.00311
Caulobacter mirabilis	69666	S	87	100	187	0.00175
Caulobacter sp. NIBR1757	3016000	S	21	16	37	0.00035
Brevundimonas staleyi	74326	S	2	24	26	0.00024
Brevundimonas sp. Bb-A	2560058	S	2	82	84	0.00079
Phenylobacterium montanum	2823693	S	20	4	24	0.00023
Phenylobacterium sp. NIBR 498073	3015177	S	4	1	5	0.00005
Phenylobacterium sp. LH3H17	2903901	S	2	0	2	0.00002
Phenylobacterium zucineum	284016	S	5	1	6	0.00006
Phenylobacterium parvum	2201350	S	4	1	5	0.00005
Terricaulis silvestris	2686094	S	15	1	16	0.00015
Niveispirillum cyanobacteriorum	1612173	S	37	17	54	0.00051
Hypericibacter adhaerens	2602016	S	4	86	90	0.00084
Caenispirillum salinarum	859058	S	69	51	120	0.00113
Ferrovibrio terrae	2594003	S	15	5	20	0.00019
Pararhodospirillum photometricum	1084	S	6	1	7	0.00007
Stella humosa	94	S	6	3	9	0.00008
Terasakiella sp. SH-1	2560057	S	4	1	5	0.00005
Varunaivibrio sulfuroxidans	1773489	S	4	1	5	0.00005
Roseomonas marmotae	2768161	S	129	88	217	0.00204
Roseomonas fluvialis	1750527	S	14	8	22	0.00021
Roseomonas sp. CCTCC AB2023176	3342640	S	6	3	9	0.00008
Roseomonas haemaphysalidis	2768162	S	5	3	8	0.00008
Roseococcus microcysteis	2771361	S	7	5	12	0.00011
Komagataeibacter saccharivorans	265959	S	12	25	37	0.00035
Acidibrevibacterium fodinaquatile	1969806	S	14	11	25	0.00023
Granulibacter bethesdensis	364410	S	10	4	14	0.00013
Commensalibacter melissae	2070537	S	7	0	7	0.00007
Lichenicola sp.	2804529	S	7	4	11	0.00010
Acidisoma cladoniae	3040935	S	11	5	16	0.00015
Acidocella sp. MX-AZ03	2697363	S	9	6	15	0.00014
Elioraea tepida	2843330	S	6	4	10	0.00009
Wolbachia pipientis	955	S	89	110	199	0.00187
Wolbachia endosymbiont (group A) of Agelastica alni	3066130	S	4	5	9	0.00008
Wolbachia endosymbiont of Rhagoletis cingulata	1220542	S	1	0	1	0.00001
Wolbachia endosymbiont of Tetranychus urticae	169184	S	1	0	1	0.00001
Neoehrlichia mikurensis	89586	S	1	0	1	0.00001
Candidatus Mesenet endosymbiont of Agriotes lineatus	3077948	S	1	0	1	0.00001
Candidatus Megaera polyxenophila	988779	S	6	1	7	0.00007
Rickettsia conorii	781	S	2	0	2	0.00002
Orientia tsutsugamushi	784	S	1	0	1	0.00001
Candidatus Deianiraea vastatrix	2163644	S	1	0	1	0.00001
Pontivivens nitratireducens	2758038	S	18	57	75	0.00070
Rhodovulum sp. P5	1564506	S	12	23	35	0.00033
Paracoccus sp. ME4	3138066	S	3	4	7	0.00007
Pikeienuella piscinae	2748098	S	2	1	3	0.00003
Ruegeria sp. SCSIO 43209	2793010	S	4	4	8	0.00008
Sulfitobacter sp. SK011	1389004	S	2	1	3	0.00003
Jannaschia sp. W003	2867012	S	2	2	4	0.00004
Hyphobacterium sp.	2004662	S	29	2	31	0.00029
Algimonas porphyrae	1128113	S	5	0	5	0.00005
Candidatus Paracaedibacter symbiosus	244582	S	8	0	8	0.00008
Candidatus Bodocaedibacter vickermanii	2741701	S	3	0	3	0.00003
Candidatus Nucleicultrix amoebiphila	1509244	S	8	0	8	0.00008
Candidatus Bealeia paramacronuclearis	1921001	S	2	0	2	0.00002
endosymbiont of Acanthamoeba sp. UWC8	86106	S	1	0	1	0.00001
Candidatus Pelagibacter sp. IMCC9063	1002672	S	10	0	10	0.00009
Candidatus Fonsibacter ubiquis	1925548	S	2	0	2	0.00002
Sneathiella marina	2950108	S	1	0	1	0.00001
Hyphomonas sp. FCG-A18	3080019	S	1	0	1	0.00001
