name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudoxanthomonas sp. SL93	2995142	S	60	145	205	0.00790
Xanthomonas albilineans	29447	S	18	14	32	0.00123
Xanthomonas oryzae	347	S	7	1476	1483	0.05715
Xanthomonas campestris	339	S	2	114	116	0.00447
Xanthomonas axonopodis	53413	S	1	8	9	0.00035
Stenotrophomonas sp. LGBM10	3390038	S	3	11	14	0.00054
Stenotrophomonas sp. 169	2770322	S	1	6	7	0.00027
Stenotrophomonas oahuensis	3003271	S	1	2	3	0.00012
Agrilutibacter terrestris	2865112	S	14	32	46	0.00177
Lysobacter sp. KIS68-7	2904252	S	3	14	17	0.00066
Pseudolysobacter antarcticus	2511995	S	1	0	1	0.00004
Luteibacter anthropi	564369	S	10	56	66	0.00254
Dyella sp. GSA-30	2994496	S	1	2	3	0.00012
Sodalis ligni	2697027	S	1112	226	1338	0.05156
Candidatus Sodalis pierantonius	1486991	S	1	0	1	0.00004
Sodalis endosymbiont of Henestaris halophilus	1929246	S	1	0	1	0.00004
Escherichia coli	562	S	90	536	626	0.02412
Klebsiella pneumoniae	573	S	18	325	343	0.01322
Klebsiella quasipneumoniae	1463165	S	3	6	9	0.00035
Klebsiella aerogenes	548	S	1	0	1	0.00004
Klebsiella michiganensis	1134687	S	1	2	3	0.00012
Klebsiella electrica	1259973	S	1	0	1	0.00004
Salmonella enterica	28901	S	18	5683	5701	0.21968
Enterobacter ludwigii	299767	S	5	19	24	0.00092
Enterobacter bugandensis	881260	S	2	5	7	0.00027
Citrobacter gillenii	67828	S	1	10	11	0.00042
Citrobacter portucalensis	1639133	S	1	3	4	0.00015
Shigella flexneri	623	S	3	84	87	0.00335
Candidatus Profftia sp. (ex Adelges kitamiensis)	2864218	S	1	0	1	0.00004
Candidatus Moranella endobia	1048758	S	1	0	1	0.00004
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	1	0	1	0.00004
Superficieibacter sp. HKU1	3031919	S	1	0	1	0.00004
Morganella morganii	582	S	3	0	3	0.00012
Proteus mirabilis	584	S	1	0	1	0.00004
Candidatus Providencia siddallii	1715285	S	1	0	1	0.00004
Yersinia pestis	632	S	1	525	526	0.02027
Yersinia entomophaga	935293	S	1	0	1	0.00004
Serratia sp. CMO1	2785630	S	1	10	11	0.00042
Erwinia pyrifoliae	79967	S	1	0	1	0.00004
Candidatus Erwinia haradaeae	1922217	S	1	0	1	0.00004
Edwardsiella tarda	636	S	1	0	1	0.00004
Pseudomonas putida	303	S	9	29	38	0.00146
Pseudomonas mosselii	78327	S	5	4	9	0.00035
Pseudomonas sp. FP1762	2954080	S	5	30	35	0.00135
Pseudomonas sp. G.S.17	3137451	S	2	0	2	0.00008
Pseudomonas sp. M30-35	1981174	S	1	0	1	0.00004
Pseudomonas sp. nanlin1	3040605	S	1	0	1	0.00004
Pseudomonas sp. NS1(2017)	2025658	S	1	0	1	0.00004
Pseudomonas aeruginosa	287	S	10	61	71	0.00274
