name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ralstonia solanacearum	305	S	3	1049	1052	0.02575
Ralstonia pseudosolanacearum	1310165	S	1	759	760	0.01860
Paraburkholderia tropica	92647	S	4	409	413	0.01011
Burkholderia pseudomallei	28450	S	56	8658	8714	0.21331
Burkholderia thailandensis	57975	S	12	5579	5591	0.13686
Burkholderia mallei	13373	S	5	859	864	0.02115
Burkholderia oklahomensis	342113	S	4	19	23	0.00056
Burkholderia ubonensis	101571	S	16	325	341	0.00835
Burkholderia multivorans	87883	S	3	14	17	0.00042
Burkholderia ambifaria	152480	S	3	23	26	0.00064
Burkholderia anthina	179879	S	3	24	27	0.00066
Burkholderia contaminans	488447	S	1	5	6	0.00015
Burkholderia gladioli	28095	S	7	21	28	0.00069
Burkholderia sp. 2002721687	1468409	S	1	4847	4848	0.11868
Polynucleobacter necessarius	576610	S	2	22	24	0.00059
Cupriavidus campinensis	151783	S	4	12	16	0.00039
Cupriavidus malaysiensis	367825	S	2	42	44	0.00108
Candidatus Vallotia tarda	1177213	S	2	4	6	0.00015
Lautropia mirabilis	47671	S	3	7	10	0.00024
Robbsia sp. KACC 23696	3149231	S	2	2	4	0.00010
Mycetohabitans endofungorum	417203	S	1	1	2	0.00005
Pararobbsia alpina	621374	S	1	1	2	0.00005
Pseudoduganella sp. UC29_106	3374553	S	27	65	92	0.00225
Herbaspirillum hiltneri	341045	S	84	299	383	0.00938
Collimonas fungivorans	158899	S	2	6	8	0.00020
Variovorax paradoxus	34073	S	1	204	205	0.00502
Ottowia sp. oral taxon 894	1658672	S	1	6	7	0.00017
Taylorella equigenitalis	29575	S	5	2	7	0.00017
Basilea psittacipulmonis	1472345	S	4	1	5	0.00012
Bordetella parapertussis	519	S	2	99	101	0.00247
Turicimonas muris	1796652	S	10	3	13	0.00032
Sutterella faecalis	2584944	S	1	0	1	0.00002
Tepidimonas taiwanensis	307486	S	2	10	12	0.00029
