name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium prioriisuperbiae	2854389	S	1	18	19	0.00020
Bradyrhizobium sp. 200	2782665	S	1	77	78	0.00081
Rhodopseudomonas palustris	1076	S	64	651	715	0.00743
Rhodopseudomonas boonkerdii	475937	S	1	13	14	0.00015
Tardiphaga alba	340268	S	6	67	73	0.00076
Variibacter gotjawalensis	1333996	S	1	1	2	0.00002
Microvirga thermotolerans	2651334	S	6	418	424	0.00440
Microvirga sp. RSM25	3273802	S	1	132	133	0.00138
Methylobacterium durans	2202825	S	5	20	25	0.00026
Methylobacterium radiotolerans	31998	S	1	101	102	0.00106
Methylobacterium flocculans	2984843	S	1	4	5	0.00005
Methylobacterium radiodurans	2202828	S	1	6	7	0.00007
Methylobacterium mesophilicum	39956	S	1	7	8	0.00008
Devosia sp. A16	1736675	S	249	374	623	0.00647
Devosia sp. MC521	2759954	S	3	4	7	0.00007
Devosia beringensis	2657486	S	24	81	105	0.00109
Devosia neptuniae	191302	S	3	7	10	0.00010
Devosia rhizoryzae	2774137	S	1	2	3	0.00003
Rhodomicrobium lacus	2498452	S	95	27	122	0.00127
Methyloligella sp. GL2	2742204	S	1	0	1	0.00001
Enhydrobacter sp.	1894999	S	276	68	344	0.00357
Pseudorhodoplanes sinuspersici	1235591	S	163	32	195	0.00203
Terrihabitans soli	708113	S	7	1	8	0.00008
Nordella sp. HKS 07	2712222	S	2	0	2	0.00002
Rhizobium leguminosarum	384	S	5	181	186	0.00193
Rhizobium ruizarguesonis	2081791	S	2	47	49	0.00051
Rhizobium gallicum	56730	S	1	23	24	0.00025
Rhizobium grahamii	1120045	S	1	5	6	0.00006
Liberibacter crescens	1273132	S	5	8	13	0.00014
Candidatus Liberibacter americanus	309868	S	1	5	6	0.00006
Nitratireductor thuwali	2267699	S	2	0	2	0.00002
Aquibium microcysteis	675281	S	1	0	1	0.00001
Phreatobacter cathodiphilus	1868589	S	110	47	157	0.00163
Phreatobacter stygius	1940610	S	75	22	97	0.00101
Xanthobacter dioxanivorans	2528964	S	4	69	73	0.00076
Azorhizobium caulinodans	7	S	16	5	21	0.00022
Pseudolabrys taiwanensis	331696	S	7	2	9	0.00009
Pseudolabrys sp. FHR47	2562284	S	1	0	1	0.00001
Ancylobacter polymorphus	223390	S	7	2	9	0.00009
Beijerinckia indica	533	S	41	9	50	0.00052
Methylocapsa sp. D3K7	3041435	S	15	2	17	0.00018
Methylovirgula sp. 4M-Z18	2293567	S	2	8	10	0.00010
