name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arenimonas daejeonensis	370777	S	708	843	1551	0.01774
Lysobacter sp. KIS68-7	2904252	S	186	245	431	0.00493
Lysobacter arenosi	2795387	S	4	13	17	0.00019
Luteimonas sp. MC1825	2761107	S	2	203	205	0.00234
Pseudoxanthomonas suwonensis	314722	S	3	52	55	0.00063
Pseudoxanthomonas sp. SL93	2995142	S	1	19	20	0.00023
Agrilutibacter terrestris	2865112	S	57	109	166	0.00190
Xanthomonas albilineans	29447	S	7	4	11	0.00013
Xanthomonas oryzae	347	S	2	319	321	0.00367
Xanthomonas campestris	339	S	1	51	52	0.00059
Xanthomonas axonopodis	53413	S	1	28	29	0.00033
Solilutibacter oculi	2698682	S	21	31	52	0.00059
Xylella fastidiosa	2371	S	7	39	46	0.00053
Marilutibacter maris	1605891	S	1	1	2	0.00002
Dokdonella koreensis	323415	S	94	242	336	0.00384
Tahibacter amnicola	2976241	S	45	52	97	0.00111
Luteibacter anthropi	564369	S	4	43	47	0.00054
Dyella terrae	522259	S	1	2	3	0.00003
Dyella sp. BiH032	3075430	S	1	5	6	0.00007
Aerosticca soli	2010829	S	2	16	18	0.00021
Frateuria soli	1542730	S	1	11	12	0.00014
Allochromatium tepidum	553982	S	8	7	15	0.00017
Thermochromatium tepidum	1050	S	7	6	13	0.00015
Marichromatium purpuratum	37487	S	7	3	10	0.00011
Rheinheimera sp. F8	1763998	S	1	0	1	0.00001
Sedimenticola thiotaurini	1543721	S	13	120	133	0.00152
Thiolapillus brandeum	1076588	S	2	12	14	0.00016
Spiribacter salinus	1335746	S	145	22	167	0.00191
Acidihalobacter ferrooxydans	1765967	S	3	5	8	0.00009
Halorhodospira halochloris	1052	S	6	1	7	0.00008
Alkalilimnicola ehrlichii	351052	S	2	0	2	0.00002
Aquisalimonas sp. 2447	2740807	S	1	0	1	0.00001
Granulosicoccus antarcticus	437505	S	1	0	1	0.00001
Candidatus Moranella endobia	1048758	S	517	0	517	0.00591
Escherichia coli	562	S	259	818	1077	0.01232
Enterobacteriaceae endosymbiont of Plateumaris sericea	2675797	S	185	50	235	0.00269
Klebsiella sp. LTGPAF-6F	1905288	S	23	189	212	0.00242
Klebsiella pneumoniae	573	S	17	138	155	0.00177
Klebsiella oxytoca	571	S	1	0	1	0.00001
Citrobacter portucalensis	1639133	S	31	52	83	0.00095
Citrobacter gillenii	67828	S	2	9	11	0.00013
Salmonella enterica	28901	S	24	7526	7550	0.08636
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	9	0	9	0.00010
secondary endosymbiont of Trabutina mannipara	1835721	S	6	0	6	0.00007
Candidatus Purcelliella pentastirinorum	472834	S	6	0	6	0.00007
Enterobacter cloacae	550	S	8	4	12	0.00014
Enterobacter ludwigii	299767	S	6	13	19	0.00022
Candidatus Profftia sp. (ex Adelges kitamiensis)	2864218	S	1	0	1	0.00001
Candidatus Schneideria nysicola	1081631	S	1	0	1	0.00001
Candidatus Curculioniphilus buchneri	690594	S	1	0	1	0.00001
Sodalis ligni	2697027	S	480	71	551	0.00630
Proteus mirabilis	584	S	52	7	59	0.00067
Candidatus Providencia siddallii	1715285	S	6	0	6	0.00007
Arsenophonus endosymbiont of Aleurodicus dispersus	235559	S	4	0	4	0.00005
Morganella morganii	582	S	1	0	1	0.00001
Edwardsiella tarda	636	S	46	7	53	0.00061
Enterobacterales bacterium endosymbiont of Anomoneura mori	3132096	S	10	3	13	0.00015
Erwinia pyrifoliae	79967	S	4	0	4	0.00005
Pantoea stewartii	66269	S	2	0	2	0.00002
Buchnera aphidicola	9	S	1	0	1	0.00001
Brenneria rubrifaciens	55213	S	3	1	4	0.00005
Serratia marcescens	615	S	1	1	2	0.00002
Serratia plymuthica	82996	S	1	3	4	0.00005
Yersinia vastinensis	2890318	S	1	0	1	0.00001
Steroidobacter denitrificans	465721	S	746	82	828	0.00947
Vibrio sp. THAF191d	2661922	S	4	436	440	0.00503
Vibrio algicola	2662262	S	3	0	3	0.00003
Vibrio cholerae	666	S	1	0	1	0.00001
Paraphotobacterium marinum	1755811	S	152	11	163	0.00186
Pseudomonas synxantha	47883	S	7	41	48	0.00055
Pseudomonas sp. Q1-7	3020843	S	3	2	5	0.00006
Pseudomonas sp. KNUC1026	2893890	S	1	0	1	0.00001
Pseudomonas sp. S150	2559074	S	1	231	232	0.00265
Pseudomonas putida	303	S	3	11	14	0.00016
Pseudomonas aeruginosa	287	S	1	8	9	0.00010
Metapseudomonas furukawaii	1149133	S	15	14	29	0.00033
Entomomonas moraniae	2213226	S	10	0	10	0.00011
Halopseudomonas phragmitis	1931241	S	6	1	7	0.00008
Halopseudomonas sabulinigri	472181	S	2	0	2	0.00002
Ectopseudomonas guguanensis	1198456	S	1	2	3	0.00003
Marinobacter nauticus	2743	S	1	0	1	0.00001
Hahella chejuensis	158327	S	137	16	153	0.00175
Allohahella sp. A8	3141461	S	14	1	15	0.00017
Venatoribacter cucullus	2661630	S	16	4	20	0.00023
Marinomonas algicola	2773454	S	1	0	1	0.00001
Nitrincola iocasae	2614693	S	1	0	1	0.00001
Candidatus Carsonella ruddii	114186	S	2	0	2	0.00002
Salicola sp. KBTZ08	3398275	S	1	14	15	0.00017
Marinicella sp. W31	3023713	S	3	1	4	0.00005
Endozoicomonas sp. GU-1	3009078	S	1	0	1	0.00001
Aquicella siphonis	254247	S	63	14	77	0.00088
Aquicella lusitana	254246	S	7	1	8	0.00009
Coxiella-like endosymbiont	1592897	S	45	16	61	0.00070
Candidatus Legionella polyplacis	2005262	S	8	2	10	0.00011
Legionella lytica	96232	S	3	9	12	0.00014
Legionella spiritensis	452	S	1	5	6	0.00007
Legionella adelaidensis	45056	S	1	1	2	0.00002
Sulfurifustis variabilis	1675686	S	133	15	148	0.00169
Sulfuricaulis limicola	1620215	S	4	0	4	0.00005
Congregibacter litoralis	393662	S	66	6	72	0.00082
Aequoribacter fuscus	2518989	S	6	0	6	0.00007
Cellvibrio sp. PSBB006	1987723	S	36	17	53	0.00061
Microbulbifer spongiae	2944933	S	3	0	3	0.00003
Spongiibacter nanhainus	2794344	S	1	0	1	0.00001
Candidatus Palibaumannia cicadellinicola	186490	S	117	8	125	0.00143
Candidatus Vondammii sp. HM_W22	2687299	S	5	0	5	0.00006
Celerinatantimonas diazotrophica	412034	S	1	0	1	0.00001
Thalassotalea ponticola	1523392	S	77	3	80	0.00092
